id,name,name_fr,name_ar,category,sub_category,sector,address,lat,lon,phone,website,opening_hours,operator,beds,source,source_url,confidence_score,osm_amenity,osm_healthcare
osm_node_4057991325,Hôpital Sidi Othmane,,,hospital,,unknown,,33.5585424,-7.5733008,,,,,,OSM,https://www.openstreetmap.org/node/4057991325,0.7,hospital,hospital
osm_node_4169513751,Pharmacie Marjane Ain Sebaa,,,pharmacy,,unknown,Centre Commercial Marjane Ain Sebaa,33.5962524,-7.5321201,,,,,,OSM,https://www.openstreetmap.org/node/4169513751,0.7,pharmacy,pharmacy
osm_node_4188292439,Laboratoire El Manzah,,,laboratory,,unknown,Boulevard Brahim Roudani شارع ابراهيم الروداني,33.5773166,-7.6374863,,,,,,OSM,https://www.openstreetmap.org/node/4188292439,0.7,,laboratory
osm_node_4190908411,Pharmacie de L´Hopital,,,hospital,,unknown,Boulevard Mohamed Zerktouni,33.5829423,-7.6181703,,,,,,OSM,https://www.openstreetmap.org/node/4190908411,0.7,pharmacy,pharmacy
osm_node_4190909079,Chirurgien Dentiste;Chiropractic,,,dentist,,unknown,Boulevard Mohamed Zerktouni,33.5829967,-7.6178786,,,,,,OSM,https://www.openstreetmap.org/node/4190909079,0.7,dentist,dentist
osm_node_4190909393,Kinesitherapie,,,unknown,,unknown,Boulevard Mohamed Zerktouni,33.5830102,-7.6176728,,,,,,OSM,https://www.openstreetmap.org/node/4190909393,0.7,,alternative
osm_node_4193540891,Pharmacie du Progrès,,,pharmacy,,unknown,Rue Hommane Al Fatwaki,33.5946685,-7.6165845,,,,,,OSM,https://www.openstreetmap.org/node/4193540891,0.7,pharmacy,pharmacy
osm_node_4193566291,Pharmacie Derb Nejma صيدلية درب النجمة,Pharmacie Derb Nejma,صيدلية درب النجمة,pharmacy,,unknown,,33.5746216,-7.6764933,,,,,,OSM,https://www.openstreetmap.org/node/4193566291,0.7,pharmacy,pharmacy
osm_node_4193605793,Pharmacie La Bourse,,,pharmacy,,unknown,,33.5944684,-7.6131681,,,,,,OSM,https://www.openstreetmap.org/node/4193605793,0.7,pharmacy,pharmacy
osm_node_4194268649,Laboratoire Bouzoubaa,,,doctor,,unknown,Boulevard Mohamed Zerktouni,33.5828104,-7.6167958,,,,,,OSM,https://www.openstreetmap.org/node/4194268649,0.7,doctors,doctor
osm_node_4221347651,Mamounia,,,pharmacy,,unknown,,33.5901779,-7.5930535,,,,,,OSM,https://www.openstreetmap.org/node/4221347651,0.7,pharmacy,pharmacy
osm_node_4222065194,Pharmacie Romandie,,,pharmacy,,unknown,,33.5865126,-7.6481439,,,,,,OSM,https://www.openstreetmap.org/node/4222065194,0.7,pharmacy,pharmacy
osm_node_4225325228,Pharmacie Nouvelle,,,pharmacy,,unknown,Boulevard de la Liberté,33.5873194,-7.6121157,,,,,,OSM,https://www.openstreetmap.org/node/4225325228,0.7,pharmacy,pharmacy
osm_node_4225325266,,,,pharmacy,,unknown,Boulevard de la Liberté,33.5859743,-7.6114307,,,,,,OSM,https://www.openstreetmap.org/node/4225325266,0.7,pharmacy,pharmacy
osm_node_4237661199,Polyclinique CNSS,,,clinic,,unknown,,33.540515,-7.5976351,,,,,,OSM,https://www.openstreetmap.org/node/4237661199,0.7,clinic,clinic
osm_node_4326937232,Pharmacie Ennakhil,,,pharmacy,,unknown,,33.6159579,-7.484088,,,,,,OSM,https://www.openstreetmap.org/node/4326937232,0.7,pharmacy,pharmacy
osm_node_4367335689,Clinique Abdelmoumen,Clinique Abdelmoumen,,clinic,,unknown,Rue Al Imam Boussairi,33.5652215,-7.6275311,+212 5 22 98 02 98,,,,,OSM,https://www.openstreetmap.org/node/4367335689,0.7,clinic,clinic
osm_node_4368515792,centre kine forme,centre kine forme,,doctor,,unknown,Boulevard Oued Daoura,33.5473567,-7.6817344,,,,,,OSM,https://www.openstreetmap.org/node/4368515792,0.7,doctors,doctor
osm_node_4368517200,centre dentiste spécialisé مركز طب الأسنان,centre dentiste spécialisé,مركز طب الأسنان,dentist,,unknown,,33.5470541,-7.6818258,,,,,,OSM,https://www.openstreetmap.org/node/4368517200,0.7,dentist,dentist
osm_node_4398086251,Pharmacie de Picardie,Pharmacie de Picardie,صيدلية بيكاردي,pharmacy,,unknown,,33.5889637,-7.6306057,,,,,,OSM,https://www.openstreetmap.org/node/4398086251,0.7,pharmacy,pharmacy
osm_node_4469809895,Cabinet dentaire Kadmiri,,,dentist,,unknown,Rue Ibn al Mouaalim,33.5978607,-7.6386713,+212 5 22 20 37 75,,Mo-Sa 08:00-20:00,,,OSM,https://www.openstreetmap.org/node/4469809895,0.7,dentist,dentist
osm_node_4486728186,Centre de rein moulay youssef,,,doctor,,unknown,Boulevard Moulay Youssef,33.6014071,-7.6325637,,,,,,OSM,https://www.openstreetmap.org/node/4486728186,0.7,doctors,doctor
osm_node_4492311991,Endocrinologue tazi otman طبيب الغدد تازي عثمان,Endocrinologue tazi otman,طبيب الغدد تازي عثمان,doctor,endocrinology,unknown,Boulevard Abdelmoumen,33.5698239,-7.6257448,,,,,,OSM,https://www.openstreetmap.org/node/4492311991,0.7,doctors,doctor
osm_node_4501565189,Endocrinologue Tazi Otmane طبيب الغدد تازي عثمان,Endocrinologue Tazi Otmane,طبيب الغدد تازي عثمان,doctor,endocrinology,unknown,Boulevard Abdelmoumen,33.5690864,-7.6257502,,,,,,OSM,https://www.openstreetmap.org/node/4501565189,0.7,doctors,doctor
osm_node_4552429589,Docteur Adil Araqi,,,doctor,,unknown,,33.5804494,-7.6349571,,,,,,OSM,https://www.openstreetmap.org/node/4552429589,0.7,doctors,doctor
osm_node_4554695990,Laboratoire Émile Zola,Laboratoire Émile Zola,,laboratory,,unknown,Boulevard Émile Zola,33.5936355,-7.5970624,,,,,,OSM,https://www.openstreetmap.org/node/4554695990,0.7,,laboratory
osm_node_4577378695,Pharmacie Fourkane صيدلية,Pharmacie Fourkane,صيدلية,pharmacy,,unknown,Boulevard des Figuiers,33.6163152,-7.5292654,,,,,,OSM,https://www.openstreetmap.org/node/4577378695,0.7,pharmacy,pharmacy
osm_node_4599784190,Pharmacie Les Capucines,,,pharmacy,,unknown,Boulevard Al Massira Al Khadra شارع المسيرة الخضراء,33.5869115,-7.6366612,,,,,,OSM,https://www.openstreetmap.org/node/4599784190,0.7,pharmacy,pharmacy
osm_node_4665706142,Pharmacie Bnou Zohr,,,pharmacy,,unknown,Rue Sidi Al Khadir,33.5683227,-7.6865945,,,,,,OSM,https://www.openstreetmap.org/node/4665706142,0.7,pharmacy,pharmacy
osm_node_4677830490,Elmcherqui Mostafa Urologue,,,doctor,urology,unknown,Rue Victor Hugo,33.5789058,-7.6089159,+212 5 22 44 56 48,,,,,OSM,https://www.openstreetmap.org/node/4677830490,0.7,doctors,doctor
osm_node_4693053089,Docteur BENLYAZID ORL,Docteur BENLYAZID ORL,,doctor,,unknown,Boulevard Abdelmoumen,33.5775823,-7.6255118,+212 5 22 47 55 39,https://m.facebook.com/docteurbenlyazidadil/,Mo-Sa 08:30-19:00,,,OSM,https://www.openstreetmap.org/node/4693053089,0.7,doctors,doctor
osm_node_4720305016,Radiologie ksiyer الفحص بالأشعة قصير,Radiologie ksiyer,الفحص بالأشعة قصير,doctor,,unknown,,33.5821745,-7.6199559,,,,,,OSM,https://www.openstreetmap.org/node/4720305016,0.7,doctors,doctor
osm_node_4742853823,pharmacie imam ali صيدلية الإمام علي,pharmacie imam ali,صيدلية الإمام علي,pharmacy,,unknown,,33.6094444,-7.5333588,,,,,,OSM,https://www.openstreetmap.org/node/4742853823,0.7,pharmacy,pharmacy
osm_node_4744868823,Bourgogne,,,veterinary,,unknown,Rue Entrecasteaux,33.5978925,-7.6381616,,,,,,OSM,https://www.openstreetmap.org/node/4744868823,0.7,veterinary,
osm_node_4970508622,Amal Damir,Amal Damir,,doctor,,unknown,,33.5098864,-7.6561996,,,,,,OSM,https://www.openstreetmap.org/node/4970508622,0.7,doctors,doctor
osm_node_5030221123,Yssef Boujemaa - Pédiatre,Yssef Boujemaa - Pédiatre,,doctor,,unknown,,33.5893333,-7.6155261,,,,,,OSM,https://www.openstreetmap.org/node/5030221123,0.7,doctors,doctor
