id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_way_222800636,Les Ecoles El Manal,,,education,school,,Rue Oualidia,33.5750218,-7.652264,,,,,,OSM,osm,https://www.openstreetmap.org/way/222800636,0.65,False,school,
osm_way_222800770,,,,education,school,,,33.5737257,-7.6511848,,,,,,OSM,osm,https://www.openstreetmap.org/way/222800770,0.65,False,school,
osm_way_222801375,Al jabr,,,education,school,,,33.5631726,-7.6377603,,,,,,OSM,osm,https://www.openstreetmap.org/way/222801375,0.65,False,school,
osm_way_222801458,Ecole Ernest Renan,,,education,school,,,33.5628685,-7.6395199,,,,,,OSM,osm,https://www.openstreetmap.org/way/222801458,0.65,False,school,
osm_way_222802244,Etablissement Al Inbiaat Primaire Privée,,,education,school,,Rue du Golo,33.5564091,-7.6170738,,,,,,OSM,osm,https://www.openstreetmap.org/way/222802244,0.65,False,school,
osm_way_231271841,Collège Abu Baker Essediq,,,education,school,,,33.5119802,-7.6553668,,,,,,OSM,osm,https://www.openstreetmap.org/way/231271841,0.65,False,school,
osm_way_231933367,maintenon,,,education,school,,Avenue 2 Mars,33.5812095,-7.6148555,,,,Meryam khatib,,OSM,osm,https://www.openstreetmap.org/way/231933367,0.65,False,school,
osm_way_243351205,Ecole Georges Bizet,,,education,school,,,33.5775844,-7.6545569,,,,,,OSM,osm,https://www.openstreetmap.org/way/243351205,0.65,False,school,
osm_way_243352223,Carmel de l'Oasis,,,education,kindergarten,,,33.5577795,-7.6371074,,,,,,OSM,osm,https://www.openstreetmap.org/way/243352223,0.65,False,kindergarten,
osm_way_243800401,Ecole Manar Alkhayr 2,,,education,school,,,33.5637257,-7.5562132,,,,,,OSM,osm,https://www.openstreetmap.org/way/243800401,0.65,False,school,
osm_way_243912971,Lycée Jaâfar Al Fassi,,,education,school,,,33.5636741,-7.5531163,,,,,,OSM,osm,https://www.openstreetmap.org/way/243912971,0.65,False,school,
osm_way_243954287,الثانوية التأهيلية مولاي إسماعيل,,,education,school,,,33.5585274,-7.5567585,,,,,,OSM,osm,https://www.openstreetmap.org/way/243954287,0.65,False,school,
osm_way_244038194,الثانوية الإعدادية للا مريم,,,education,school,,,33.559312,-7.5568482,,,,,,OSM,osm,https://www.openstreetmap.org/way/244038194,0.65,False,school,
osm_way_244038196,Ecole Al Akkad,,,education,school,,,33.558126,-7.5591266,,,,,,OSM,osm,https://www.openstreetmap.org/way/244038196,0.65,False,school,
osm_way_244038197,الثانوية التأهيلية الرائد ادريس الحارثي,,,education,school,,,33.5597299,-7.5554979,,,,,,OSM,osm,https://www.openstreetmap.org/way/244038197,0.65,False,school,
osm_way_263200491,11 janvier,,,education,school,,,33.5435354,-7.5663922,,,,,,OSM,osm,https://www.openstreetmap.org/way/263200491,0.65,False,school,
osm_way_269570440,Faculté des Sciences Ben M'sik,,,education,university,,avenue idriss el harti,33.5659475,-7.5408662,,,,,,OSM,osm,https://www.openstreetmap.org/way/269570440,0.65,False,college,
osm_way_274178425,Lycée Abd El Aziz El Fachtali,,,education,school,,,33.5591938,-7.6794361,,,,,,OSM,osm,https://www.openstreetmap.org/way/274178425,0.65,False,school,
